Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Software Developer -- Entry Level,2025-03-08,https://jobright.ai/jobs/info/67ca807f32bfc37a29c64fe8?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Mobile, AL
Knoxville, TN",CGI,10000+,"Analytics,Application Performance Management",$47K-$92K /yr,"1. A bachelor’s degree in a relevant field (i.e.: Computer Science, Computer Engineering, or a similar major with extensive computer-based or technical content)
2. Experience with SQL, Java, C++, J2EE, C# and/or .Net development
3. The ability to learn and understand new technologies quickly
4. A great attitude and desire for learning
5. Excellent problem solving, written and verbal communication skills
...",no,
"Associate/Senior Associate, Software Engineer - Analytics Development",2025-03-08,https://jobright.ai/jobs/info/6792d76f59034638ee5f895e?utm_source=1100&utm_campaign=Software Engineering,Remote,"Maryland, United States",Ankura,1001-5000,"Advice,Consulting",$50K-$120K /yr,"1. Bachelor degree in Computer Science, Information Technology, or related field (or equivalent practical experience).
2. Proficiency in at least one programming language from C#, Python, or Java.
3. Basic understanding of front-end technologies including HTML, CSS, and JavaScript.
4. Strong problem-solving skills and the ability to learn new technologies quickly.
5. Excellent communication skills and the ability to work collaboratively in a team environment.",not sure,
"Software Engineer, PhD, Early Career, Campus, 2025 Start",2025-03-08,https://jobright.ai/jobs/info/66e9216322eef8e427ec6829?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Bellevue, WA
Sunnyvale, CA
Seattle, WA
Raleigh, NC
San Francisco, CA
Atlanta, GA
Los Angeles, CA
Irvine, CA
Pittsburgh, PA
Durham, NC
Austin, TX
San Jose, CA
Kirkland, WA
Cambridge, MA
Reston, VA
New York, NY
Mountain View, CA
San Bruno, CA",Google,10000+,"Apps,Artificial Intelligence (AI)",$136K-$200K /yr,"1. PhD degree in Computer Science or related technical field.
2. Experience coding in one of the following programming languages including but not limited to: C, C++, Java, JavaScript, Python, or Golang.",not sure,
Software Developer - Entry Level,2025-03-08,https://jobright.ai/jobs/info/67cbb53a116065164c4f1a60?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Multi Location
Westerville, OH
Pittsburgh, PA",CGI,10000+,"Analytics,Application Performance Management",$52K-$92K /yr,"1. A bachelor’s degree in a relevant field (i.e.: Computer Science, Computer Engineering, or a similar major with extensive computer-based or technical content)
2. Experience with SQL, Java, C++, J2EE, C# and/or .Net development
3. The ability to learn and understand new technologies quickly
4. A great attitude and desire for learning
5. Excellent problem solving, written and verbal communication skills
...",no,
PMIC Embedded Software Engineer,2025-03-08,https://jobright.ai/jobs/info/6799a8685b16ebadd72c5962?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Diego, CA",Qualcomm,10000+,"Artificial Intelligence (AI),Generative AI",$94200-$141200 /yr,"1. 1 to 5 Years of SW Development Experience: Proficiency in C/C++ development on mobile devices (e.g., IoT, smartphones). New graduates with relevant coursework experience are encouraged to apply.
2. RTOS Knowledge: Understanding of memory management, timers, interrupt architecture, and threads. Prior exposure to Zephyr RTOS is advantageous.
3. Driver Development: Experience creating drivers for multi-core/CPU and multithreaded systems.
4. Analog and Digital Circuit Theory: Familiarity with circuit theory, especially analog and digital components.
5. USB Type-C PD and Battery Management Exposure: Prior exposure to USB Type-C PD and battery management software is advantageous.
...",not sure,
Windows Video Software Engineer,2025-03-08,https://jobright.ai/jobs/info/67c7de3516ecbbf1393950eb?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Diego, CA",Qualcomm,10000+,"Artificial Intelligence (AI),Generative AI",$94200-$141200 /yr,"1. Bachelor's degree in Engineering, Information Systems, Computer Science, or related field.",not sure,
Scheduler 1 - Kiewit Infrastructure Engineers,2025-03-08,https://jobright.ai/jobs/info/677600473b55602ba18446b3?utm_source=1100&utm_campaign=Software Engineering,On Site,"Lone Tree, CO",Kiewit,10000+,"Building Material,Construction",$83906-$86500 /yr,"1. Bachelor's degree in Engineering, Construction Management or related degree required
2. Ability to read and interpret construction drawings and specifications
3. The ability to freely access all points of a construction site in wide-ranging climates and environment
4. Working knowledge of computers and experience with Microsoft Excel
5. Demonstrated work ethic
...",not sure,yes
Software Developer - Entry Level,2025-03-08,https://jobright.ai/jobs/info/67c7f5f0d8e836ca4ed29d7e?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Lebanon, VA",CGI,10000+,"Analytics,Application Performance Management",$50K-$83K /yr,"1. A bachelor’s degree in a relevant field (i.e.: Computer Science, Computer Engineering, or a similar major with extensive computer-based or technical content)
2. Experience with SQL, Java, C++, J2EE, C# and/or .Net development
3. The ability to learn and understand new technologies quickly
4. A great attitude and desire for learning
5. Excellent problem solving, written and verbal communication skills
...",no,
"Embedded Real Time Operating System Software Engineer (QuRT OS, Zephyr)",2025-03-08,https://jobright.ai/jobs/info/67afdb211c08d15f3bff2c01?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Diego, CA",Qualcomm,10000+,"Artificial Intelligence (AI),Generative AI",$108400-$162600 /yr,"1. Bachelor's degree in Electrical Engineering, Computer Science, Computer Engineering, or related field.
2. 2+ years of experience with high-performance microprocessor design.
3. Hands-on experience in RTOS development (especially Zephyr RTOS).
4. Embedded software development (C, C++, Assembly language – RISC-V, ARM, Hexagon).
5. Multi-Core Computer Architecture.
...",not sure,yes
"iOS Engineer, Optimized Checkout Suite",2025-03-08,https://jobright.ai/jobs/info/67930120bf68ba130ccf1091?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
United States
San Francisco, CA
New York, United States",Stripe,5001-10000,"Finance,FinTech",$156K-$234K /yr,"1. 1.5+ years of iOS development experience
2. Experience writing readable, maintainable, and testable code",not sure,
Software Developer -- Entry Level,2025-03-08,https://jobright.ai/jobs/info/67c93198f8645ae440ac9471?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Nashville, TN",CGI,10000+,"Analytics,Application Performance Management",$52K-$92K /yr,"1. A bachelor’s degree in a relevant field (i.e.: Computer Science, Computer Engineering, or a similar major with extensive computer-based or technical content)
2. Experience with SQL, Java, C++, J2EE, C# and/or .Net development
3. The ability to learn and understand new technologies quickly
4. A great attitude and desire for learning
5. Excellent problem solving, written and verbal communication skills
...",no,
"Software Engineer II - Backend, Uber Health",2025-03-08,https://jobright.ai/jobs/info/67cc24008f11abf09e68e570?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Francisco, CA",Uber,10000+,"Logistics,Mobile Apps",$158000-$175500 /yr,"1. 1+ years relevant engineering experience in successfully designing and building large scale, highly available and reliable engineering systems addressing real world challenging problems.
2. Strong engineering skills, knowledge of data structures and a keen eye for architecture. Ability to discuss trade-offs between architectural choices both theoretically and practically.
3. Proven track record of independently working and delivering high impact projects being the DRI engineer.
4. Strong software engineering skills, supported by 1+ years of industry experience in one or more programming languages (e.g., Golang, Python, C++, Java) and eagerness to learn more.
5. Experience with large-scale distributed systems, data storage and database systems (SQL or NoSQL, e.g. MySQL, Cassandra, DynamoDB) utilizing a micro services architecture
...",not sure,
"Associate, Integration/Test Engineering (Van Nuys, CA)",2025-03-08,https://jobright.ai/jobs/info/679403d774ddc7b097dcd895?utm_source=1100&utm_campaign=Software Engineering,On Site,"Los Angeles, CA",L3Harris Technologies,10000+,"Information Technology,National Security",$66K-$122K /yr,1. Pursing a Bachelor’s Degree,no,
Test Engineer I,2025-03-08,https://jobright.ai/jobs/info/67c10aecb401f745d8be7d9a?utm_source=1100&utm_campaign=Software Engineering,On Site,"Hauppauge, NY",Frontgrade Technologies,1001-5000,"E-Commerce,Electronics",$73K-$89K /yr,"1. No experience is required. OR (4) years of experience may be considered in lieu of a Bachelors Degree.
2. This position requires access to technology, materials, software or hardware that is controlled by either ITAR or EAR U.S. export laws. As a condition to this job offer, in order to be employed in this position, you must be able to obtain an U.S. Government export license(s), as required by law.",not sure,
"Junior Engineer, Software Development & Engineering",2025-03-08,https://jobright.ai/jobs/info/67cc126c56723aa764b59063?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Englewood, CO
CO - Englewood, 183 Inverness Dr West",Comcast,10000+,"Internet,Telecommunications",$80842.17-$121263.25 /yr,"1. Bachelor's degree in Computer Science, Engineering, or a related field.
2. Strong problem-solving skills and attention to detail.
3. Excellent communication and teamwork abilities.
4. This position is ineligible for visa sponsorship. To be considered for this role, you must be legally authorized to work in the United States and not require sponsorship for employment now or in the future.",no,
"Full Stack Tech Fellow [Full Time, Summer Contract] - San Francisco Program",2025-03-07,https://jobright.ai/jobs/info/6764bef01eb8fc08e6858eb0?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"San Francisco, CA",CodePath,11-50,"Communities,Education",$30-$45 /hr,"1. 1+ years of formal experience working as a web developer in core technologies
2. Strong understanding of core technologies: React.js, Node.js, and foundational database knowledge. Our ideal candidate has strong familiarity with relational databases (e.g. Postgres, MySQL, etc.)
3. Computer science (or related field) degree, full stack bootcamp certification, or comparable experience working in/learning software development
4. Classroom support experience working with students, troubleshooting issues, and helping debug",not sure,
"Software Engineer II - Backend, Uber Health",2025-03-07,https://jobright.ai/jobs/info/67cbd160f974b69c9c6d81de?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
San Francisco, CA
Sunnyvale, CA",Uber,10000+,"Logistics,Mobile Apps",$158K-$176K /yr,"1. 1+ years relevant engineering experience in successfully designing and building large scale, highly available and reliable engineering systems addressing real world challenging problems
2. Strong engineering skills, knowledge of data structures and a keen eye for architecture
3. Ability to discuss trade-offs between architectural choices both theoretically and practically
4. Proven track record of independently working and delivering high impact projects being the DRI engineer
5. Strong software engineering skills, supported by 1+ years of industry experience in one or more programming languages (e.g., Golang, Python, C++, Java) and eagerness to learn more
...",not sure,
Jr. Software Developer,2025-03-07,https://jobright.ai/jobs/info/67cbb53a116065164c4f18cf?utm_source=1100&utm_campaign=Software Engineering,On Site,"Los Angeles, CA",Universal Music Group,5001-10000,"Audio Recording and Production,Media and Entertainment",$74362-$99878 /yr,"1. Knowledgeable in both API development and Frontend development.
2. Strong understanding of object-oriented programming.
3. Design and develop secure, scalable, and maintainable software solutions.
4. Collaborate with A&R team to understand requirements and implement effective strategies.
5. Utilize Python3, SQL (PostgreSQL), JavaScript/Typescript, HTML5/CSS3 to build and optimize applications.
...",not sure,
Jr. Software Engineer - Python,2025-03-07,https://jobright.ai/jobs/info/67cbc514ed529997906bc27c?utm_source=1100&utm_campaign=Software Engineering,Remote,"Ann Arbor, MI",Liquid Advertising South Florida,11-50,"Advertising,Distillery",$50K-$70K /yr,"1. Technical degree (bachelors level or better) including significant coding projects
2. Strength with Python coding
3. Experience with SQL and other data-focused scripting
4. Developed software projects from beginning to end either independently or with a broader team",no,
"Engineer, iOS (Remote)",2025-03-07,https://jobright.ai/jobs/info/67cba90f0200c0d9a7c06b81?utm_source=1100&utm_campaign=Software Engineering,Remote,"Columbus, OH",Abercrombie & Fitch Co.,10000+,"Apparel,E-Commerce",$85000-$112000 /yr,"1. BA/BS Degree in Computer Science, MIS, or related field, or combined skills/experience and education
2. 1-2 years’ experience with Swift, Objective C and iOS SDKs
3. Strong foundation in object-oriented design, data structures, algorithm design, problem solving, complexity analysis, and debugging
4. Experience in designing/developing performant iOS applications
5. Experience with web service integration (REST, JSON)
...",not sure,
Software Engineer II,2025-03-07,https://jobright.ai/jobs/info/67cbad50cd566c774fe3d9bb?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,FloQast,501-1000,"Accounting,B2B",$110000-$145000 /yr,"1. 1-3 years of professional full stack experience at 1 or more referenceable companies doing web app development, RESTful API design, or data modeling
2. Proficiency in JavaScript and React, NodeJS, or MongoDB. Being able to think and develop in their patterns and practices. The more the better.
3. Track record of shipping high-quality products and features to customers, and developing projects at scale
4. Ability to quickly turn business and product ideas into engineering solutions
5. Motivated by taking a product to market, solving customer problems, and mastering your craft through the growth of the business",no,
Software Engineer I (Applications),2025-03-07,https://jobright.ai/jobs/info/67cb9acfa5186e39538cf9fa?utm_source=1100&utm_campaign=Software Engineering,On Site,"Melbourne, FL",AeroVironment,1001-5000,"Aerospace,Air Transportation",$71852-$101850 /yr,"1. Bachelor's degree in Computer Engineering, Computer Science, Electrical Engineering or related discipline is required or equivalent combination of education, training, and experience
2. 0 - 2 years of relevant experience in Windows or Linux application software development. Object Oriented Design experience a must; Qt experience is a plus.
3. Expertise in one of the following: C# .Net, Java, C++
4. Demonstrated familiarity with source code configuration management tools such as SVN and Git
5. Experienced writing unit tests, using an IDE and understanding basic debugging techniques
...",no,yes
Embedded Software Engineer I,2025-03-07,https://jobright.ai/jobs/info/67cc1654b17a217ce7523b54?utm_source=1100&utm_campaign=Software Engineering,On Site,"Neenah, WI",Plexus Corp.,10000+,"Automotive,Business Development",$68500-$102700 /yr,"1. Bachelor's degree or higher in relevant field.
2. Strong programming skills (modern C++, C)
3. Knowledge of other languages (C#, Python, Bash)
4. Strong design skills (OO, abstraction)
5. Unit testing experience
...",not sure,
Associate Software Development Engineer in Test,2025-03-07,https://jobright.ai/jobs/info/67cb8ebce08dd064b708b580?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,Origami Risk,501-1000,"Insurance,Risk Management",$80000-$100000 /yr,"1. Educational Background: Bachelor’s degree in computer engineering, Computer Science, or a related field.
2. Programming Proficiency: 1-2 years of experience with various programming languages such as Java, JavaScript/TypeScript, C#, Python, or equivalent. Well versed in Object-Oriented Programming Skills.
3. QA Experience: 1-2 years of experience in Software Quality Assurance, with a strong focus on test automation.
4. Open-source Frameworks: 1-2 years of hands-on experience using open-source automation frameworks such as Selenium, Playwright, or Cypress etc.
5. UI and API Automation: Extensive experience (1-2 years) in automating UI and API tests, ensuring comprehensive test coverage.
...",not sure,
Manual QA Tester,2025-03-07,https://jobright.ai/jobs/info/67cb96335c3ea3f7729fe185?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Durham, NC",Piper Companies,101-250,,$60000-$80000 /yr,"1. Bachelor’s degree in Computer Science, Information Technology, or related field is required.
2. Proven experience as a Manual QA Tester or similar role.
3. Strong understanding of software testing methodologies and practices.
4. Experience with end-to-end testing and API testing.
5. Excellent analytical and problem-solving skills.",no,
Software Developer,2025-03-07,https://jobright.ai/jobs/info/67cb96335c3ea3f7729fe213?utm_source=1100&utm_campaign=Software Engineering,On Site,"Aberdeen Proving Ground, MD",Lockwood,251-500,"Advertising,Health Care",$90K-$120K /yr,"1. Bachelor’s degree in Computer Science, Software Engineering, or related field.
2. Experience with programming languages (Python, Java, C++, etc.).
3. Knowledge of secure coding practices and software development methodologies.
4. Active DoD Secret or higher clearance required.",no,
Software Engineer,2025-03-07,https://jobright.ai/jobs/info/67c0ddaa2f88f81c7bb56901?utm_source=1100&utm_campaign=Software Engineering,On Site,Greater Chicago Area,"Bectran, Inc.",101-250,"Financial Services,Information Technology",$75K-$80K /yr,"1. Bachelor’s degree in Computer Science Engineering, Computer information systems, Information Technology or equivalent.
2. Strong experience with Hibernate, Java, Python, J2EE, Web Services, MySQL, jQuery, JavaScript, XML, JSON and database management.
3. Functional knowledge of Agile Methodology and common design patterns.
4. Ability to develop applications that easily integrate with external APIs.
5. Knowledge of Service Oriented Architecture (SOA) and MVC Design patterns.
...",not sure,
Jr. Software Engineer - Python,2025-03-07,https://jobright.ai/jobs/info/67cb96335c3ea3f7729fe2da?utm_source=1100&utm_campaign=Software Engineering,Remote,"Ann Arbor, MI","Liquid Advertising, Inc.",51-100,,$50000-$65000 /yr,"1. Technical degree (bachelors level or better) including significant coding projects
2. Strength with Python coding
3. Experience with SQL and other data-focused scripting
4. Developed software projects from beginning to end either independently or with a broader team",no,
"Mobile Engineer, Android",2025-03-07,https://jobright.ai/jobs/info/67cb88b46bdb97077d33b378?utm_source=1100&utm_campaign=Software Engineering,On Site,"McLean, VA",Capital One,10000+,"Banking,Credit Cards",$133000-$151800 /yr,"1. Bachelor’s Degree
2. At least 1.5 years of professional software engineering experience (Internship experience does not apply)
3. At least 1 year of experience building Android applications
4. At least 1 year of experience with Kotlin",no,
Cloud Engineer II,2025-03-07,https://jobright.ai/jobs/info/67cb7a65b78d54dd8f63308b?utm_source=1100&utm_campaign=Software Engineering,On Site,"O'Fallon, MO",Mastercard,10000+,"Finance,Financial Services",$92K-$147K /yr,"1. Bachelor's degree required
2. 1-3 years of cloud experience
3. Experienced in understanding of Operational duties
4. Working knowledge of target platforms (vSphere, Cloud Foundry, Tanzu Application Services (TAS), Concourse pipelines)
5. Attuned to security needs and best practices
...",not sure,
Software Dev Engineer,2025-03-07,https://jobright.ai/jobs/info/67cb6a0651ed3613b1cac6c9?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Seattle, WA
San Luis Obispo, California, USA",Amazon,10000+,"Crowdsourcing,Delivery",$99500-$200000 /yr,"1. 1+ years of non-internship professional software development experience
2. Experience programming with at least one software programming language
3. Bachelor’s or Master’s degree within the last six months or be on track to earn their Bachelor’s or Master’s degree prior to the role start date",not sure,
Java Developer – Data as a Service - CB TAS - Associate,2025-03-07,https://jobright.ai/jobs/info/67cb63708f63fde41104ea30?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Cary, 3000 CentreGreen Way",Deutsche Bank,10000+,"Banking,Finance",$85000-$120750 /yr,"1. Enterprise development with Java, using Spring or Spring Boot, and Structured Query Language (SQL)
2. Familiarity with and/or demonstrated aptitude to learn Kafka and Cloud technologies (we’re using Google Cloud)
3. Understanding and experience designing and building REST microservices as well as understanding of distributed systems development and performance optimization
4. Experience with architectural design patterns, highly optimized, low latency and massively scalable platforms
5. Hands on experience with all layers of the development stack, including unit and automated tests, to be able to collaboratively deliver front-to-back solutions
...",not sure,
Software Engineer II,2025-03-07,https://jobright.ai/jobs/info/67cb747b57e09f619c57d4a5?utm_source=1100&utm_campaign=Software Engineering,Remote,United States,FloQast,501-1000,"Accounting,B2B",$110K-$145K /yr,"1. 1-3 years of professional full stack experience at 1 or more referenceable companies doing web app development, RESTful API design, or data modeling
2. Proficiency in JavaScript and React, NodeJS, or MongoDB. Being able to think and develop in their patterns and practices. The more the better.
3. Track record of shipping high-quality products and features to customers, and developing projects at scale
4. Ability to quickly turn business and product ideas into engineering solutions
5. Motivated by taking a product to market, solving customer problems, and mastering your craft through the growth of the business",no,
"Software Developer, Junior",2025-03-07,https://jobright.ai/jobs/info/67cbcacd474a806a124cbf6a?utm_source=1100&utm_campaign=Software Engineering,On Site,"Charleston, SC",Booz Allen Hamilton,10000+,"Consulting,Cyber Security",$51700-$106000 /yr,"1. Experience with programming languages in industry or academic environments, including Java, C++, Python, and JavaScript
2. Experience researching, designing, developing, or modifying enterprise-wide systems, architectures, or applications software in an internship or academic environment
3. Ability to analyze and solve problems
4. Ability to work independently and within a team
5. Ability to obtain and maintain a Public Trust or Suitability/Fitness determination based on client requirements
...",no,
Junior .NET Developer,2025-03-07,https://jobright.ai/jobs/info/67cb747b57e09f619c57d4c4?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Johnston, IA",Crew,101-250,"Consulting,Information Technology",$62000-$85000 /yr,"1. Bachelor’s degree in Science, Computer Science, or associate’s degree in similar fields
2. Proficient in MS Office
3. Strong analysis and problem-solving skills
4. Excellent written and verbal communication
5. Self-motivated, resourceful and innovative
...",not sure,
Research Associate I - Enterprise Software,2025-03-07,https://jobright.ai/jobs/info/67cb60ee3882c137edc8355a?utm_source=1100&utm_campaign=Software Engineering,On Site,"New York, NY",Stifel Financial Corp.,5001-10000,"Banking,Finance",$90000-$110000 /yr,"1. Bachelor's degree
2. 0 to 2 years of Financial Services or relevant industry experience
3. Proficient in Microsoft Excel, Word, PowerPoint, Outlook
4. Inductive Reasoning - The ability to combine pieces of information to form general rules or conclusions.
5. Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.
...",not sure,yes
Solutions Architect,2025-03-07,https://jobright.ai/jobs/info/67cbd5bdabb6eff427f13975?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"New York, NY",Alloy,251-500,"Compliance,FinTech",$110000-$129000 /yr,"1. 1-3 years experience in a technical role, such as software developer, data analyst, systems engineer, or similar
2. Hands-on, passionate and creative problem solver
3. Strong communicator, with the ability to explain complex technical concepts to non-technical stakeholders
4. Desire to work directly with clients and build relationships through solution-oriented discussions
5. Ability to manage multiple tasks and prioritize effectively in a fast-paced environment
...",not sure,
Cloud Engineer II-R-242113,2025-03-07,https://jobright.ai/jobs/info/67cb62e246337d105130f16c?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Missouri, United States",Mastercard,10000+,"Finance,Financial Services",$92000-$147000 /yr,"1. Bachelor's degree required
2. 1-3 years of cloud experience
3. Experienced in understanding of Operational duties
4. Working knowledge of target platforms (vSphere, Cloud Foundry, Tanzu Application Services (TAS), Concourse pipelines)
5. Attuned to security needs and best practices
...",not sure,
"Early Career Computer Science - Astrodynamics / Algorithm Development, Onsite",2025-03-07,https://jobright.ai/jobs/info/67cb42a03aae52c9210ee3cb?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Albuquerque, NM",Sandia National Laboratories,10000+,"Government,Information Technology",$99400-$193600 /yr,"1. A Bachelor’s degree in a relevant discipline, or an equivalent combination of directly relevant education and experience defined by the following parameters:
2. An Associate’s degree in a relevant discipline plus four (4) years of directly related relevant work experience; or
3. A High School Diploma plus eight (8) years of directly related relevant work experience.
4. Ability to obtain and maintain a DOE Q and SCI clearance which may require a polygraph test.
5. Equivalent education and experience must be engineering or scientific experience that demonstrates the knowledge, skills, and ability to perform independent research and development.",no,
